Gene,GSM494565,GSM494594,GSM494604,GSM494564,GSM494591,GSM494567,GSM494602,GSM494613,GSM494589,GSM494598,GSM494593,GSM494583,GSM494612,GSM494558,GSM494556,GSM494559,GSM494571,GSM494614,GSM494603,GSM494568,GSM494572,GSM494600,GSM494562,GSM494615,GSM494582,GSM494599,GSM494610,GSM494587,GSM494581,GSM494580,GSM494563,GSM494576,GSM494605,GSM494584,GSM494586,GSM494578,GSM494585,GSM494611,GSM494560,GSM494595,GSM494570,GSM494597,GSM494607,GSM494561,GSM494569,GSM494592,GSM494577,GSM494588,GSM494590,GSM494609,GSM494608,GSM494606,GSM494574,GSM494573,GSM494566,GSM494601,GSM494557,GSM494579,GSM494596,GSM494575,GSM494625,GSM494654,GSM494664,GSM494624,GSM494651,GSM494662,GSM494627,GSM494673,GSM494649,GSM494658,GSM494653,GSM494643,GSM494672,GSM494618,GSM494631,GSM494619,GSM494674,GSM494616,GSM494663,GSM494628,GSM494632,GSM494660,GSM494622,GSM494642,GSM494647,GSM494659,GSM494670,GSM494675,GSM494641,GSM494636,GSM494640,GSM494623,GSM494644,GSM494646,GSM494665,GSM494638,GSM494645,GSM494671,GSM494655,GSM494620,GSM494630,GSM494657,GSM494667,GSM494621,GSM494629,GSM494637,GSM494652,GSM494648,GSM494650,GSM494669,GSM494666,GSM494668,GSM494633,GSM494634,GSM494639,GSM494661,GSM494617,GSM494626,GSM494656,GSM494635
A2M,12.5758,13.6671,13.8843,13.3445,12.2481,13.5243,12.6345,12.1424,12.8145,12.1076,13.2053,12.3287,11.5185,13.8682,13.5369,13.3815,13.3896,12.7319,13.5243,13.6433,12.7287,13.4785,12.0321,13.533,10.827,13.8319,12.741,12.0728,13.0967,13.6512,11.8851,12.3617,13.786,13.0574,12.3658,13.786,12.5758,12.0137,13.0223,11.7119,13.2486,12.6511,12.8515,13.72,14.1408,13.3368,12.3264,13.5243,12.9369,13.3402,12.8586,13.1495,12.1076,12.3287,13.9732,13.7377,12.9723,13.1539,13.786,12.6257,13.8361,14.1548,13.6181,13.9179,14.3183,13.9222,14.015,13.7725,14.1068,13.7079,14.0206,13.8023,13.2713,14.0831,13.2635,13.8682,13.8964,13.9995,13.7946,14.242,13.5859,14.1772,14.0702,13.8558,13.6347,13.9837,13.7946,12.9216,13.5492,14.1694,13.9179,13.8877,13.7499,13.8682,13.716,14.0206,13.8235,13.533,13.7332,13.9837,13.8719,13.3967,13.3699,13.9449,14.1628,14.0892,13.7451,13.7038,14.1993,13.5859,13.716,13.5414,13.7418,14.0365,14.0206,13.6512,14.0831,13.9889,14.0595,14.1548
ABAT,8.18853,6.75791,7.55507,7.95666,7.57561,7.56922,7.33311,9.30462,6.89941,6.0559,8.91774,9.66146,9.07766,7.21421,8.95142,10.1052,7.76636,9.53482,7.62455,7.63621,5.5083,6.30234,6.48418,7.55475,10.1824,8.26328,6.42153,6.39969,8.4162,8.93259,6.25677,10.1398,7.89192,9.37095,8.92066,9.06669,10.5929,7.33627,7.75657,8.01203,6.99923,5.23182,8.52425,8.59916,7.9368,7.90745,7.67307,9.2435,6.89863,8.42296,10.1472,9.14809,6.18083,7.00556,7.9158,8.74472,9.13321,7.591,3.67193,8.6664,8.51461,5.00291,7.65099,8.13626,6.9697,8.02191,7.41347,8.10737,7.61162,8.05592,7.08381,8.02123,7.96661,6.98443,8.72771,7.73112,7.06324,7.5633,6.92317,7.44248,6.91362,7.99128,7.14068,7.63732,7.05211,7.35476,6.91377,7.81186,7.44377,7.46284,7.45725,8.15247,6.99244,7.28421,7.98511,8.22375,7.57577,7.53852,7.80456,8.11885,8.7206,8.21716,7.46138,7.94014,7.43624,7.72105,7.46265,8.75896,6.03991,7.68019,7.55644,7.91565,8.11338,7.57547,7.8729,6.05664,7.41303,7.09909,7.21908,7.86376
ABCA1,9.54856,10.5105,10.4714,9.57586,8.95325,10.4302,9.32113,9.54208,9.17405,9.85511,8.96694,9.82096,7.606,10.0608,9.28668,8.65417,10.3076,9.80821,9.86354,10.1447,10.4655,9.26991,9.40986,9.82124,6.75537,9.62408,10.2431,10.4174,10.0026,10.2418,9.91672,10.3071,10.383,9.7807,8.29611,9.27579,7.86868,9.81602,9.74462,9.34753,9.44406,10.1622,9.87192,9.62408,9.64759,10.0703,9.11213,9.44406,10.5907,10.1975,9.81635,9.52757,9.35291,9.5594,9.65363,9.42113,9.10227,9.44726,9.31097,9.23673,10.1751,10.7536,10.7463,10.1786,10.2867,10.6736,10.5202,9.78257,9.72881,10.433,9.93252,10.2279,9.76621,9.58041,9.60594,9.63017,10.1875,9.8643,10.0065,10.5131,10.6697,10.2903,9.54749,10.2196,10.1723,10.1561,9.86642,10.3146,9.93142,10.4427,10.7939,10.043,9.39,10.1622,10.8186,10.7071,9.90851,9.75577,10.0879,9.76809,10.0515,10.1005,9.8395,10.3551,10.3659,10.6642,10.0806,9.61872,9.95473,10.2682,10.2924,9.89288,9.87864,9.58926,10.3258,10.066,9.66825,9.97066,10.5618,9.90239
ABCB1,5.20643,5.78902,6.35439,5.90397,4.57522,5.51623,5.05448,5.45119,4.94332,5.16677,5.70477,4.93931,4.68235,6.21376,5.76963,5.33128,4.79511,4.96846,5.85841,5.97888,5.10921,5.32912,5.06844,5.12309,7.63848,6.02532,5.91189,4.9763,5.87768,5.91128,5.89424,5.69428,7.13345,5.34286,9.37549,5.76935,4.99122,5.39819,5.06617,4.94547,6.28889,5.63237,6.24596,7.38188,6.63566,6.36262,4.83459,6.55779,5.12959,5.63595,4.74405,6.14203,6.06035,4.99971,5.71326,5.24821,4.81835,5.7439,4.89915,5.21965,6.94464,5.03257,6.64557,6.84298,6.31709,6.08123,7.71139,8.2809,6.5409,7.23629,9.16112,5.99727,6.70814,5.44284,5.29497,6.39389,6.55695,6.50583,5.95993,6.9031,7.08822,9.28507,7.04473,6.64046,5.76715,8.35413,7.70424,6.54154,5.84636,9.12434,5.43273,7.52628,9.38045,6.3688,6.84414,8.81644,5.75414,6.76167,6.97855,6.16482,6.77166,5.13009,5.61447,6.83384,6.53415,6.74148,6.67107,7.45121,8.99785,6.32338,6.56641,6.96143,5.91098,8.52509,6.49108,6.07702,8.04475,8.03518,7.11901,8.15437
ABCD3,10.8633,9.98545,9.88442,10.1072,11.2543,10.8309,10.7877,10.9135,10.8303,10.141,11.3956,9.79691,9.61786,10.3962,11.483,10.993,10.3566,11.3759,10.4417,10.4944,10.9517,10.4734,9.63424,10.6725,10.9879,10.3405,9.07191,11.2097,10.3459,10.5121,9.53591,10.5827,10.5327,10.2444,10.5022,11.559,11.3807,10.3054,11.0911,11.0446,10.423,9.17589,9.74059,10.0183,10.3886,10.8413,10.0191,10.2799,9.99356,10.6858,10.0859,10.2338,9.3087,10.4279,10.5796,10.6002,10.8694,9.63452,10.1782,10.2745,10.063,8.86373,10.0787,10.0016,10.2889,10.1778,9.81966,9.89088,10.2546,10.2638,9.92166,10.0348,9.62433,9.87297,10.5801,10.1432,10.4491,10.4724,9.52676,10.0749,10.578,10.3486,10.2933,10.0287,10.2727,9.96568,8.91673,8.79009,10.1112,10.1052,9.98057,9.14971,10.388,10.364,10.6824,10.3027,10.062,9.99457,10.206,10.1833,10.2655,10.1127,10.0373,9.90818,10.1525,10.3405,10.0366,9.96089,9.66798,10.1751,10.3836,9.64262,10.5524,10.1875,10.1508,10.1879,10.2266,10.1875,9.96956,10.134
ABCE1,9.23622,7.64169,9.22191,8.56239,8.808,8.75119,9.79443,8.67625,9.42002,11.6677,9.4088,9.30368,9.27146,8.27215,8.45787,8.54187,8.03305,9.26899,9.2437,9.19152,8.48316,8.70958,10.3191,8.78768,10.2556,9.15057,9.27464,9.00552,8.93055,8.41963,9.73598,9.28994,9.1895,8.53561,10.3728,8.59463,9.19013,9.78712,9.01488,8.70401,8.45078,8.42223,9.38855,8.71873,8.65072,9.4373,9.09542,8.71998,8.57701,8.86709,8.32492,9.0848,9.43242,8.83656,9.17747,9.13457,8.88357,9.41948,8.76937,9.92057,8.55127,7.24202,9.22123,8.85661,8.45693,8.23128,8.56785,9.36044,7.95912,9.48396,9.15699,8.37442,9.31999,8.7119,8.24199,8.34835,9.30147,8.33967,9.47469,9.16972,8.72713,7.7886,9.55664,8.8154,8.98007,9.05952,10.1655,9.3879,9.36484,8.37245,7.9734,8.93326,9.22869,8.85092,9.3879,8.55602,8.74686,9.57256,8.7746,8.37811,8.35102,8.52173,8.98571,8.27215,8.83965,8.26489,9.05019,8.25465,8.54968,9.28078,9.00778,9.57498,8.26438,9.12383,8.59301,8.6186,9.0334,8.92233,7.85206,8.70958
ABCG1,8.96613,8.70401,9.52837,8.72396,9.85945,9.45429,8.38189,9.09194,7.67153,8.86789,8.90532,8.67822,8.73934,8.63786,9.21072,8.04636,7.80858,10.9114,9.28923,9.17859,5.74303,8.13676,8.18673,8.28266,8.31711,8.40194,9.32113,8.8535,8.7534,9.56791,8.56295,8.79914,9.17088,8.75807,7.28797,9.22455,7.25599,9.24919,9.59261,9.36064,8.26854,8.90901,9.72698,8.6162,8.39052,9.34502,8.13941,9.04395,7.32528,8.85598,8.68249,9.04819,7.91785,7.71862,8.67348,7.63427,7.58791,8.87055,8.82387,8.32204,9.85177,8.45919,9.14871,9.47725,9.66115,9.7031,9.7031,9.51609,8.53275,10.2039,9.71227,9.37371,9.5929,9.13098,9.00322,9.70508,9.45613,9.37997,9.70539,10.0752,9.43608,9.09766,9.6914,9.33843,9.31434,9.6739,9.00198,9.64369,8.42017,9.46088,9.46573,8.97985,8.76623,9.29601,9.34286,10.3681,8.99219,9.04309,10.0254,9.19742,9.73846,6.69565,9.59944,9.33424,9.4433,9.72646,8.63768,9.1601,9.45737,9.86286,9.70978,9.42897,9.03381,8.64859,8.88993,9.61507,9.30483,8.69276,8.73115,9.68463
ABHD5,7.69566,6.46478,7.35034,7.11238,6.27579,7.15455,7.75936,7.25092,6.66371,7.72319,6.97521,6.8846,8.05428,6.74954,7.35295,7.30476,5.91955,7.77512,7.54496,7.75286,5.4336,6.33517,7.92419,7.43389,7.44906,7.38932,7.26693,6.99669,7.09288,6.62781,7.55375,7.08645,7.86807,7.10568,7.6598,6.66715,7.75712,7.73855,6.9267,7.62998,7.26022,7.08298,7.50955,7.13602,7.51205,7.45387,7.23164,7.38494,6.53714,7.17348,7.8222,7.59764,7.88546,7.09635,6.89424,7.05762,6.59381,7.45417,6.15758,7.85492,8.37692,5.98288,7.88431,8.48183,7.34038,7.41064,7.20023,8.54814,7.40703,8.68647,7.80198,7.84629,8.84301,7.63128,7.4083,8.99955,8.06509,7.21318,7.49637,7.81151,7.88529,7.24102,7.56973,7.75478,7.90377,7.63207,8.73314,8.33168,7.93081,7.37517,7.04083,8.60487,7.81151,7.8866,7.63286,7.83669,8.37758,8.32629,8.16657,8.12696,7.71736,5.57226,8.23762,7.72092,7.21776,7.00586,7.20161,8.37811,7.49248,8.16341,8.10791,8.95476,8.4791,7.46565,7.69678,8.01693,7.53104,7.69097,6.36945,7.53449
ABI1,8.90147,7.75154,10.2718,9.54916,7.79538,8.89537,10.0369,8.86691,8.81822,10.0366,9.67571,9.00153,9.99565,9.21479,9.44104,8.72226,7.00602,8.78587,9.18459,9.34062,7.77512,9.28004,10.3432,9.50711,10.6022,10.004,10.232,9.79813,8.7664,9.0848,9.76683,9.29672,10.3161,9.5364,9.98688,8.54025,9.12975,10.3422,8.9152,9.72434,9.06313,9.56987,10.9551,9.37319,9.68873,10.4542,8.89081,9.32263,8.56295,9.65133,9.49897,9.67988,10.6245,8.54025,9.98337,10.386,9.3372,9.76999,5.12685,10.0086,9.06603,5.45189,10.0845,9.55467,9.65014,9.12602,8.84403,10.1904,9.41437,10.0437,10.2295,8.44829,10.2225,9.36433,8.86416,9.40906,10.2763,9.43083,8.8757,9.44561,9.80075,9.33912,9.49976,10.3005,10.2877,10.2855,10.4088,10.5509,9.9739,9.19176,8.21297,9.75641,9.86286,9.55467,10.4894,9.59435,9.84169,10.5407,10.1194,9.41894,9.08865,6.66196,10.3547,9.32549,8.31229,8.55512,10.3746,9.56737,9.92892,10.6175,10.1202,10.2308,9.1141,10.4387,9.64702,10.1091,9.76006,9.76777,8.86031,9.56108
ABI2,8.0497,9.60855,9.56377,9.57962,8.31874,9.14215,9.03626,9.11084,9.39767,8.92664,9.13628,8.95543,8.47683,9.67246,9.08459,9.42113,9.33103,9.10904,9.14056,9.11258,9.28174,9.28126,8.06773,9.69295,7.89209,9.22477,8.95476,8.38283,8.09904,9.12798,9.06788,9.90755,9.46059,8.54043,8.41173,9.18601,8.35792,8.6003,9.28945,8.34185,9.63394,8.84217,9.11324,9.22455,9.21072,8.85598,9.25283,9.05862,7.94507,9.00219,8.6797,9.27606,8.28903,9.28689,8.70671,8.33328,9.85213,9.56429,9.38021,8.22072,8.82696,9.55235,10.0033,9.64286,9.43954,10.2121,9.76809,9.32497,10.2093,8.99976,9.87026,9.65278,9.51552,9.83324,9.14418,9.77682,9.59319,9.92676,9.26353,9.06854,9.87026,10.3811,9.25765,10.1198,9.41623,9.86712,9.35672,8.39713,9.86778,9.8294,9.6778,9.69238,9.69328,9.7069,9.22259,9.77165,9.45013,9.374,9.49387,9.87501,9.9671,8.94438,9.6692,9.81563,9.84878,9.46334,9.92266,9.72986,9.11388,9.75701,9.91957,9.32402,10.1564,9.40288,10.0676,9.20403,10.0923,9.26587,9.37295,9.57586
